Mapper Operation Editdist Time
BWA Preprocessing NA 2
BWA Preprocessing NA 2
BWA Preprocessing NA 3
BWA Preprocessing NA 2
BWA Preprocessing NA 2
BWA Preprocessing NA 3
BWA Preprocessing NA 2
BWA Preprocessing NA 2
BWA Preprocessing NA 2
BWA Preprocessing NA 3
BWT Preprocessing NA 3
BWT Preprocessing NA 2
BWT Preprocessing NA 3
BWT Preprocessing NA 3
BWT Preprocessing NA 3
BWT Preprocessing NA 3
BWT Preprocessing NA 3
BWT Preprocessing NA 3
BWT Preprocessing NA 3
BWT Preprocessing NA 2
andy Preprocessing NA 242
andy Preprocessing NA 240
andy Preprocessing NA 238
andy Preprocessing NA 239
andy Preprocessing NA 239
andy Preprocessing NA 239
andy Preprocessing NA 240
andy Preprocessing NA 237
andy Preprocessing NA 240
andy Preprocessing NA 238
andy_c Preprocessing NA 432
andy_c Preprocessing NA 432
andy_c Preprocessing NA 430
andy_c Preprocessing NA 432
andy_c Preprocessing NA 432
andy_c Preprocessing NA 433
andy_c Preprocessing NA 430
andy_c Preprocessing NA 432
andy_c Preprocessing NA 430
andy_c Preprocessing NA 430
BWA Mapping NA 4
BWA Mapping NA 3
BWA Mapping NA 4
BWA Mapping NA 3
BWA Mapping NA 3
BWA Mapping NA 4
BWA Mapping NA 3
BWA Mapping NA 4
BWA Mapping NA 3
BWA Mapping NA 4
BWT Mapping 0 0
BWT Mapping 0 0
BWT Mapping 0 0
BWT Mapping 0 1
BWT Mapping 0 0
BWT Mapping 0 0
BWT Mapping 0 0
BWT Mapping 0 0
BWT Mapping 0 0
BWT Mapping 0 1
BWT Mapping 1 1
BWT Mapping 1 2
BWT Mapping 1 1
BWT Mapping 1 2
BWT Mapping 1 2
BWT Mapping 1 1
BWT Mapping 1 2
BWT Mapping 1 1
BWT Mapping 1 2
BWT Mapping 1 2
andy Mapping 0 7
andy Mapping 0 7
andy Mapping 0 7
andy Mapping 0 7
andy Mapping 0 7
andy Mapping 0 10
andy Mapping 0 7
andy Mapping 0 7
andy Mapping 0 7
andy Mapping 0 7
andy Mapping 1 14
andy Mapping 1 14
andy Mapping 1 14
andy Mapping 1 15
andy Mapping 1 14
andy Mapping 1 14
andy Mapping 1 14
andy Mapping 1 15
andy Mapping 1 14
andy Mapping 1 14
andy_c Mapping 0 134
andy_c Mapping 0 133
andy_c Mapping 0 134
andy_c Mapping 0 134
andy_c Mapping 0 134
andy_c Mapping 0 133
andy_c Mapping 0 134
andy_c Mapping 0 134
andy_c Mapping 0 134
andy_c Mapping 0 133
andy_c Mapping 1 136
andy_c Mapping 1 135
andy_c Mapping 1 136
andy_c Mapping 1 135
andy_c Mapping 1 136
andy_c Mapping 1 135
andy_c Mapping 1 135
andy_c Mapping 1 136
andy_c Mapping 1 135
andy_c Mapping 1 136
