Mapper Operation Editdist Time
BWA Preprocessing NA 1
BWA Preprocessing NA 0
BWA Preprocessing NA 0
BWT Preprocessing NA 0
BWT Preprocessing NA 0
BWT Preprocessing NA 1
andy Preprocessing NA 20
andy Preprocessing NA 20
andy Preprocessing NA 20
andy_c Preprocessing NA 11
andy_c Preprocessing NA 11
andy_c Preprocessing NA 11
BWA Mapping NA 0
BWA Mapping NA 0
BWA Mapping NA 0
BWT Mapping 0 0
BWT Mapping 0 0
BWT Mapping 0 0
andy Mapping 0 1
andy Mapping 0 1
andy Mapping 0 0
andy_c Mapping 0 2
andy_c Mapping 0 3
andy_c Mapping 0 2
